Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ETLCases,Chrome 78.0.3904.108,,2019-12-07 08:23:59,2019-12-07 08:25:08,1m - 9.822s,FAILED
,,,,,,
Test Cases/BasicETL,Chrome 78.0.3904.108,,2019-12-07 08:23:59,2019-12-07 08:24:36,36.963s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-07 08:24:00,2019-12-07 08:24:08,8.106s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-07 08:24:08,2019-12-07 08:24:09,1.217s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:09,2019-12-07 08:24:10,0.581s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:10,2019-12-07 08:24:10,0.367s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:10,2019-12-07 08:24:13,2.608s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:13,2019-12-07 08:24:16,2.845s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-07 08:24:16,2019-12-07 08:24:16,0.166s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:16,2019-12-07 08:24:17,1.511s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:17,2019-12-07 08:24:18,0.332s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:24:18,2019-12-07 08:24:23,5.043s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:23,2019-12-07 08:24:25,2.380s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:25,2019-12-07 08:24:26,0.745s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:26,2019-12-07 08:24:28,2.126s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:28,2019-12-07 08:24:28,0.301s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-07 08:24:28,2019-12-07 08:24:29,0.452s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:24:29,2019-12-07 08:24:31,2.004s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:31,2019-12-07 08:24:32,0.860s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:24:32,2019-12-07 08:24:35,3.003s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-07 08:24:35,2019-12-07 08:24:35,0.444s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-07 08:24:35,2019-12-07 08:24:36,1.070s,PASSED
,,,,,,
Test Cases/ETLFlushLoad,Chrome 78.0.3904.108,,2019-12-07 08:24:36,2019-12-07 08:25:07,31.197s,FAILED
openBrowser,Chrome 78.0.3904.108,,2019-12-07 08:24:37,2019-12-07 08:24:42,5.377s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-07 08:24:42,2019-12-07 08:24:43,1.153s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:43,2019-12-07 08:24:44,0.689s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:44,2019-12-07 08:24:44,0.548s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:44,2019-12-07 08:24:47,2.633s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:47,2019-12-07 08:24:50,2.833s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-07 08:24:50,2019-12-07 08:24:50,0.121s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:50,2019-12-07 08:24:51,1.507s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:24:51,2019-12-07 08:24:52,0.269s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:24:52,2019-12-07 08:24:57,5.004s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:57,2019-12-07 08:24:58,1.085s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:58,2019-12-07 08:24:59,0.777s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:24:59,2019-12-07 08:25:01,2.136s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:25:01,2019-12-07 08:25:01,0.242s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-07 08:25:01,2019-12-07 08:25:01,0.387s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:25:01,2019-12-07 08:25:06,5.004s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:25:06,2019-12-07 08:25:07,0.339s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:25:07,2019-12-07 08:25:07,0.702s,FAILED
