Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ETLCases,Chrome 78.0.3904.108,,2019-12-09 21:47:52,2019-12-09 21:48:53,1m - 1.648s,PASSED
,,,,,,
Test Cases/ETLUpdate1,Chrome 78.0.3904.108,,2019-12-09 21:47:52,2019-12-09 21:48:53,1m - 0.885s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-09 21:47:53,2019-12-09 21:48:02,9.237s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-09 21:48:02,2019-12-09 21:48:03,1.212s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 21:48:03,2019-12-09 21:48:04,0.627s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 21:48:04,2019-12-09 21:48:04,0.465s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 21:48:04,2019-12-09 21:48:14,10.147s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 21:48:14,2019-12-09 21:48:21,6.496s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-09 21:48:21,2019-12-09 21:48:21,0.156s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 21:48:21,2019-12-09 21:48:24,2.509s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 21:48:24,2019-12-09 21:48:26,1.969s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 21:48:26,2019-12-09 21:48:26,0.294s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 21:48:26,2019-12-09 21:48:31,5.045s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 21:48:31,2019-12-09 21:48:31,0.316s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 21:48:31,2019-12-09 21:48:44,12.656s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 21:48:44,2019-12-09 21:48:46,2.147s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-09 21:48:46,2019-12-09 21:48:47,0.452s,PASSED
selectOptionByLabel,Chrome 78.0.3904.108,,2019-12-09 21:48:47,2019-12-09 21:48:47,0.432s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 21:48:47,2019-12-09 21:48:48,0.672s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-09 21:48:48,2019-12-09 21:48:51,3.007s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-09 21:48:51,2019-12-09 21:48:51,0.466s,PASSED
click,Chrome 78.0.3904.108,,2019-12-09 21:48:51,2019-12-09 21:48:52,1.056s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-09 21:48:52,2019-12-09 21:48:53,0.917s,PASSED
