Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ETLCases,Chrome 78.0.3904.108,,2019-12-07 08:17:42,2019-12-07 08:19:54,2m - 11.525s,FAILED
,,,,,,
Test Cases/BasicETL,Chrome 78.0.3904.108,,2019-12-07 08:17:43,2019-12-07 08:18:24,40.875s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-07 08:17:44,2019-12-07 08:17:54,9.902s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-07 08:17:54,2019-12-07 08:17:55,1.234s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:17:55,2019-12-07 08:17:56,0.673s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:17:56,2019-12-07 08:17:56,0.477s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:17:56,2019-12-07 08:17:59,2.879s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:17:59,2019-12-07 08:18:03,4.336s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-07 08:18:03,2019-12-07 08:18:03,0.212s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:03,2019-12-07 08:18:05,1.681s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:05,2019-12-07 08:18:05,0.327s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:18:05,2019-12-07 08:18:11,5.045s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:18:11,2019-12-07 08:18:13,2.740s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:18:13,2019-12-07 08:18:14,0.796s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:18:14,2019-12-07 08:18:16,2.119s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:16,2019-12-07 08:18:16,0.278s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-07 08:18:16,2019-12-07 08:18:17,0.521s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:17,2019-12-07 08:18:17,0.399s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:18:17,2019-12-07 08:18:22,5.003s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-07 08:18:22,2019-12-07 08:18:23,0.474s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-07 08:18:23,2019-12-07 08:18:24,1.003s,PASSED
,,,,,,
Test Cases/ETLDefinitionExists,Chrome 78.0.3904.108,,2019-12-07 08:18:24,2019-12-07 08:19:15,51.070s,FAILED
openBrowser,Chrome 78.0.3904.108,,2019-12-07 08:18:24,2019-12-07 08:18:30,5.236s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-07 08:18:30,2019-12-07 08:18:31,1.147s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:18:31,2019-12-07 08:18:31,0.561s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:18:31,2019-12-07 08:18:32,0.400s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:32,2019-12-07 08:18:34,2.398s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:34,2019-12-07 08:18:37,2.583s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-07 08:18:37,2019-12-07 08:18:37,0.104s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:37,2019-12-07 08:18:38,1.612s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:38,2019-12-07 08:18:39,0.291s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:18:39,2019-12-07 08:18:49,10.003s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:18:49,2019-12-07 08:18:50,1.261s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:18:50,2019-12-07 08:18:51,0.765s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:18:51,2019-12-07 08:18:53,2.219s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:53,2019-12-07 08:18:53,0.250s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-07 08:18:53,2019-12-07 08:18:54,0.400s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:18:54,2019-12-07 08:18:54,0.373s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-07 08:18:54,2019-12-07 08:18:55,0.465s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:18:55,2019-12-07 08:19:00,5.016s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-07 08:19:00,2019-12-07 08:19:00,0.155s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:00,2019-12-07 08:19:01,1.636s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:19:01,2019-12-07 08:19:03,2.004s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:03,2019-12-07 08:19:04,0.280s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:19:04,2019-12-07 08:19:09,5.004s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:19:09,2019-12-07 08:19:10,1.191s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:19:10,2019-12-07 08:19:12,2.362s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:12,2019-12-07 08:19:12,0.331s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-07 08:19:12,2019-12-07 08:19:13,0.423s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:13,2019-12-07 08:19:14,1.234s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-07 08:19:14,2019-12-07 08:19:14,0.002s,NOT_RUN
acceptAlert,Chrome 78.0.3904.108,,2019-12-07 08:19:14,2019-12-07 08:19:15,0.785s,FAILED
,,,,,,
Test Cases/ETLFlushLoad,Chrome 78.0.3904.108,,2019-12-07 08:19:15,2019-12-07 08:19:54,38.801s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-07 08:19:15,2019-12-07 08:19:22,6.274s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-07 08:19:22,2019-12-07 08:19:23,1.146s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:19:23,2019-12-07 08:19:23,0.494s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:19:23,2019-12-07 08:19:24,0.431s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:24,2019-12-07 08:19:26,2.454s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:26,2019-12-07 08:19:29,3.216s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-07 08:19:29,2019-12-07 08:19:29,0.076s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:29,2019-12-07 08:19:31,1.620s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:31,2019-12-07 08:19:31,0.323s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:19:31,2019-12-07 08:19:36,5.003s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:19:36,2019-12-07 08:19:37,1.030s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:19:37,2019-12-07 08:19:38,0.737s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:19:38,2019-12-07 08:19:40,2.026s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:40,2019-12-07 08:19:40,0.237s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-07 08:19:40,2019-12-07 08:19:41,0.325s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:19:41,2019-12-07 08:19:46,5.002s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:46,2019-12-07 08:19:46,0.361s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:46,2019-12-07 08:19:47,0.445s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:19:47,2019-12-07 08:19:47,0.872s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:19:47,2019-12-07 08:19:52,5.004s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-07 08:19:52,2019-12-07 08:19:53,0.377s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-07 08:19:53,2019-12-07 08:19:54,0.902s,PASSED
