Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ETLCases,Chrome 78.0.3904.108,,2019-12-07 08:31:37,2019-12-07 08:32:59,1m - 22.188s,PASSED
,,,,,,
Test Cases/BasicETL,Chrome 78.0.3904.108,,2019-12-07 08:31:37,2019-12-07 08:32:16,38.964s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-07 08:31:38,2019-12-07 08:31:46,8.420s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-07 08:31:46,2019-12-07 08:31:48,1.224s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:31:48,2019-12-07 08:31:49,1.198s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:31:49,2019-12-07 08:31:50,0.805s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:31:50,2019-12-07 08:31:53,2.942s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:31:53,2019-12-07 08:31:56,3.236s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-07 08:31:56,2019-12-07 08:31:56,0.155s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:31:56,2019-12-07 08:31:58,1.680s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:31:58,2019-12-07 08:31:58,0.304s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:31:58,2019-12-07 08:32:03,5.038s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:32:03,2019-12-07 08:32:05,2.224s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:32:05,2019-12-07 08:32:06,0.871s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:32:06,2019-12-07 08:32:08,1.960s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:08,2019-12-07 08:32:08,0.242s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-07 08:32:08,2019-12-07 08:32:09,0.502s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:32:09,2019-12-07 08:32:11,2.005s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:11,2019-12-07 08:32:12,0.863s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:32:12,2019-12-07 08:32:15,3.004s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-07 08:32:15,2019-12-07 08:32:15,0.429s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-07 08:32:15,2019-12-07 08:32:16,1.023s,PASSED
,,,,,,
Test Cases/ETLFlushLoad,Chrome 78.0.3904.108,,2019-12-07 08:32:16,2019-12-07 08:32:59,42.490s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-07 08:32:17,2019-12-07 08:32:23,5.950s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-07 08:32:23,2019-12-07 08:32:24,1.165s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:32:24,2019-12-07 08:32:24,0.483s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:32:24,2019-12-07 08:32:25,0.501s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:25,2019-12-07 08:32:28,3.050s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:28,2019-12-07 08:32:34,6.054s,PASSED
mouseOver,Chrome 78.0.3904.108,,2019-12-07 08:32:34,2019-12-07 08:32:34,0.140s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:34,2019-12-07 08:32:36,1.562s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:36,2019-12-07 08:32:36,0.313s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:32:36,2019-12-07 08:32:41,5.004s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:32:41,2019-12-07 08:32:42,1.028s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:32:42,2019-12-07 08:32:43,0.737s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-07 08:32:43,2019-12-07 08:32:45,2.029s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:45,2019-12-07 08:32:45,0.245s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-07 08:32:45,2019-12-07 08:32:45,0.483s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:32:45,2019-12-07 08:32:50,5.004s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:50,2019-12-07 08:32:51,0.315s,PASSED
waitForElementVisible,Chrome 78.0.3904.108,,2019-12-07 08:32:51,2019-12-07 08:32:51,0.294s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:51,2019-12-07 08:32:51,0.330s,PASSED
click,Chrome 78.0.3904.108,,2019-12-07 08:32:51,2019-12-07 08:32:52,0.878s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-07 08:32:52,2019-12-07 08:32:57,5.003s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-07 08:32:57,2019-12-07 08:32:58,0.396s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-07 08:32:58,2019-12-07 08:32:59,0.893s,PASSED
